Title,Link,Price,Availability,Number of books available,Description,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,Genre
"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock (19 available),19,"Dopo un'aggressione, Miss Annette Chetwynd cerca il suo anonimo salvatore, mentre l'aspirante sacerdote Peter Adsley desidera una moglie devota. Sfide, dubbi e destini intrecciati li mettono alla prova.",0312262ecafa5a40,Books,13.99,13.99,0.00,0,Default
Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,20.66,In stock (19 available),19,Un'importante e completa raccolta dei Sonetti di William Shakespeare che completa le opere teatrali famose. Imperdibile per chi desidera completare la sua collezione delle opere del poeta.,30a7f60cd76ca58c,Books,20.66,20.66,0.00,0,Poetry
Set Me Free,set-me-free_988/index.html,17.46,In stock (19 available),19,"Aaron Ledbetter, oppresso dalle aspettative familiari, trova libertà con Jonas ""Lucky"", un artista del carnevale. Deve decidere tra il futuro prefissato e l'amore vero. Pur cercando libertà, esita. Respinge o accetta il destino?",ce6396b0f23f6ecc,Books,17.46,17.46,0.00,0,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock (19 available),19,La vita di Scott Pilgrim è fantastica finché una ragazza di nome Ramona Flowers inizia a far parte dei suoi sogni e della sua realtà. Combatterà i suoi sette ex in questo fumetto. (Parole: 27),3b1c02bac2a429e6,Books,52.29,52.29,0.00,0,Sequential Art
Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,35.02,In stock (19 available),19,"Il potere crudo del punk ha rivitalizzato il rock, ma diventò una parodia di sé stesso. ""RIP IT UP AND START AGAIN"" celebra la nascita del post-punk e band come PiL, Joy Division, Talking Heads, The Fall e The Human League che completarono la rivoluzione musicale del punk, diventando modernisti ferventi. (parole: 26)",a34ba96d4081e6a4,Books,35.02,35.02,0.00,0,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock (19 available),19,"La storia mai raccontata della ribellione musicale dello scenario degli anni Ottanta sotto Reagan. Un'epoca in cui band, etichette e fanzine infusero energia al rock americano con il credo del punk rock.",deda3e61b9514b83,Books,57.25,57.25,0.00,0,Music
Olio,olio_984/index.html,23.88,In stock (19 available),19,"""Olio"" di Tyehimba Jess mescola fatti e finzione, esaminando la vita di artisti afroamericani prima e dopo la guerra civile, fino alla prima guerra mondiale. La poesia racconta di resistenza e resilienza.",feb7cc7701ecf901,Books,23.88,23.88,0.00,0,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock (19 available),19,"Lo scrittore e ingegnere premiato Andrew Barger ha ricercato testi dimenticati del 19° secolo, portando alla luce storie di fantascienza rivoluzionarie in lingua inglese, incluse possibili prime opere di autrici. Accedi oggi ai racconti fantastici!",e30f54cea9b38190,Books,37.59,37.59,0.00,0,Science Fiction
Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,51.33,In stock (19 available),19,"Il libertarismo non è centrato sul vincere le elezioni, ma su una filosofia politica che promuove la libertà individuale e una riduzione radicale del potere governativo. ""Libertarianism For Beginners"" ne spiega storia e principi in modo chiaro e obiettivo.",a18a4f574854aced,Books,51.33,51.33,0.00,0,Politics
It's Only the Himalayas,its-only-the-himalayas_981/index.html,45.17,In stock (19 available),19,"L'autrice racconta un anno di viaggio in Asia e Africa, tra avventure pericolose e scoperte personali. Un viaggio che ha trasformato la sua visione del mondo e di se stessa.",a22124811bfa8350,Books,45.17,45.17,0.00,0,Travel
